TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.storm.kafka.KafkaSpout,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,51,0
org.apache.storm.kafka.spout.KafkaSpout,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,152,0
org.apache.storm.kafka.spout.KafkaSpout,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,152,0
