TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
fitnesse.testsystems.slim.tables.SlimTableFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,31,0
fitnesse.testsystems.slim.tables.SlimTableFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,31,0
fitnesse.testsystems.slim.tables.SlimTableFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,31,0
fitnesse.testsystems.slim.tables.SlimTableFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,32,0
