TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.zaxxer.hikari.util.UtilityElf,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8656700442414728,145,129
com.zaxxer.hikari.metrics.CodaHaleMetricsTracker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3027450980392157,143,25
com.zaxxer.hikari.metrics.CodaHaleMetricsTracker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3027450980392157,143,25
