TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.zaxxer.hikari.util.ConcurrentBag,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4532977558839627,403,150
com.zaxxer.hikari.util.ConcurrentBag,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,69,0
com.zaxxer.hikari.util.ConcurrentBag,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,69,0
com.zaxxer.hikari.util.ConcurrentBag,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,69,0
