TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.webbitserver.netty.WebSocketClient,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7370975611572956,350,248
org.webbitserver.netty.WebSocketClient,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8379378221745478,355,300
